# All infantry equipment

equipments = {

	infantry_equipment = {
		year = 1600
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 0.8
		breakthrough = 1.5
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 0.10
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.50
		resources = {
			steel = 2
		}
		
	}
	
	infantry_equipment_1600 = {
		year = 1600
	
		archetype = infantry_equipment
		active = yes
		priority = 05
		visual_level = 0
	}

	# Regular infantry  1700
	infantry_equipment_1700 = {
		year = 1700
	
		archetype = infantry_equipment
		parent = infantry_equipment_1600
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 0.89
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.10
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1725
	infantry_equipment_1725 = {
		year = 1725
	
		archetype = infantry_equipment
		parent = infantry_equipment_1700
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 0.99
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.10
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1750
	infantry_equipment_1750 = {
		year = 1750
	
		archetype = infantry_equipment
		parent = infantry_equipment_1725
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.09
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.10
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1775
	infantry_equipment_1775 = {
		year = 1775
	
		archetype = infantry_equipment
		parent = infantry_equipment_1750
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.21
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.11
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1777
	infantry_equipment_1777 = {
		year = 1777
	
		archetype = infantry_equipment
		parent = infantry_equipment_1775
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.28
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.12
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1780
	infantry_equipment_1780 = {
		year = 1780
	
		archetype = infantry_equipment
		parent = infantry_equipment_1777
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.35
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.13
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1790
	infantry_equipment_1790 = {
		year = 1790
	
		archetype = infantry_equipment
		parent = infantry_equipment_1780
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.50
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.14
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1800
	infantry_equipment_1800 = {
		year = 1800
	
		archetype = infantry_equipment
		parent = infantry_equipment_1790
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.66
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.16
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1810
	infantry_equipment_1810 = {
		year = 1810
	
		archetype = infantry_equipment
		parent = infantry_equipment_1800
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 1.84
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.17
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1820
	infantry_equipment_1820 = {
		year = 1820
	
		archetype = infantry_equipment
		parent = infantry_equipment_1810
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 2.05
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.19
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1830
	infantry_equipment_1830 = {
		year = 1830
	
		archetype = infantry_equipment
		parent = infantry_equipment_1820
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 2.27
		breakthrough = 1.5

		#Offensive Abilities
		soft_attack = 0.21
		hard_attack = 0.10
		ap_attack = 0.10
		air_attack = 0

		build_cost_ic = 0.50
	}
	
	# Regular infantry  1840
	infantry_equipment_1840 = {
		year = 1840
	
		archetype = infantry_equipment
		parent = infantry_equipment_1830
		priority = 10
		visual_level = 1

